Country,Year,Annualmean,5yraverage,Code
Qatar,2022,29.11,29.21,QAT
Romania,2022,11.2,11.03,ROU
Russian Federation,2022,-2.87,-2.97,RUS
Rwanda,2022,19.14,19.17,RWA
Samoa,2022,27.53,27.56,WSM
Saudi Arabia,2022,26.46,26.59,SAU
Senegal,2022,29,29.27,SEN
Serbia,2022,12.56,12.32,SRB
Seychelles,2022,27.11,27.23,SYC
Sierra Leone,2022,26.64,26.86,SLE
Singapore,2022,27.7,27.75,SGP
Slovak Republic,2022,9.81,9.45,SVK
Slovenia,2022,11.04,10.69,SVN
Solomon Islands,2022,25.89,25.9,SLB
Somalia,2022,27.1,26.98,SOM
South Africa,2022,18.42,18.22,ZAF
South Sudan,2022,27.55,27.64,SSD
Spain,2022,15.3,14.85,ESP
Sri Lanka,2022,27.24,27.38,LKA
Sudan,2022,27.57,27.66,SDN
Suriname,2022,26.53,26.57,SUR
Sweden,2022,3.84,3.56,SWE
Switzerland,2022,8.08,7.44,CHE
Syrian Arab Republic,2022,19.17,19.47,SYR
Tajikistan,2022,5.09,4.69,TJK
Tanzania,2022,22.9,22.94,TZA
Thailand,2022,26.78,26.91,THA
Timor Leste,2022,24.85,24.82,TLS
Togo,2022,27.47,27.68,TGO
Tonga,2022,25.1,25.18,TON
Trinidad And Tobago,2022,26.46,26.51,TTO
Tunisia,2022,21.44,21.33,TUN
Turkey,2022,12.24,12.6,TUR
Turkmenistan,2022,17.66,17.5,TKM
Tuvalu,2022,28.6,28.65,TUV
Uganda,2022,23.14,23.24,UGA
Ukraine,2022,10.04,10.06,UKR
United Arab Emirates,2022,28.93,28.95,ARE
United Kingdom,2022,10.11,9.74,GBR
United States,2022,9.73,9.68,USA
Uruguay,2022,17.73,17.82,URY
Uzbekistan,2022,14.86,14.7,UZB
Vanuatu,2022,24.76,24.77,VUT
"Venezuela, Rb",2022,25.52,25.51,VEN
Vietnam,2022,24.73,24.89,VNM
"Yemen, Rep.",2022,25.51,25.57,YEM
Zambia,2022,21.92,21.93,ZMB
Zimbabwe,2022,21.83,21.81,ZWE
